,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd,dataset
71,0.4270224305938591,0.00229587120626198,0.3890191211619783,0.023604614958746373,0.5111923147637434,0.0315302156317663,0.4670941349512778,0.03880999130847836,0.4548308512594227,0.045866574201878715,0.4270224305938591,0.00229587120626198,0.4270224305938591,0.00229587120626198,cmc
72,0.20555555555555555,0.014344382763731173,0.20555555555555555,0.014344382763731173,0.8722222222222223,0.046767152900927936,0.8953703703703703,0.019544617529614266,0.8648148148148147,0.028688765527462332,0.11296296296296296,0.003904046494035036,0.11759259259259258,0.0076228944661904125,cnae-9
73,,,,,,,,,,,,,,,colleges
74,0.6890311215502056,0.06996286066698494,,,,,,,,,0.6966647093364651,0.06339584821420863,0.6505284791544333,0.0672992247744408,colleges_usnews
75,0.10700000000000001,0.004830458915396477,0.101,0.02078995483935023,0.257,0.050343266128097454,0.23500000000000001,0.06637435917246626,0.16599999999999998,0.027162065049951147,0.07799999999999999,0.016865480854231354,0.095,0.027988092706244444,collins
76,0.6583033597024155,6.665568284542069e-05,0.39495417950170897,0.21250265082571657,0.646047069929123,0.013183455973807427,0.5495026489598959,0.07907718131680334,0.5075719847018129,0.03946405293890938,0.6581849376752698,0.0002707894086823549,0.6578593099688453,0.0011006830736316451,connect-4
77,0.8560796926650586,0.009992249431860212,0.8011459543166861,0.015805802530886447,0.9154069507728044,0.007526582535483146,0.8930656064802406,0.014246873175126335,0.7604956967152089,0.013527514807772683,0.7843028380833259,0.01416033584092333,0.7386437952291611,0.011270297240390973,cpu_act
78,0.8386251824056702,0.012343526320112272,0.7648907055004616,0.05344050939378469,0.8963629053872957,0.007932905836885249,0.8199466928735222,0.010047096529609783,0.7603735965931088,0.013567815195748125,0.7962631406533845,0.01237615321429173,0.6976318532416094,0.0005585588164001401,cpu_small
79,0.7,0.0,0.599,0.03446415206816757,0.7590000000000001,0.04508017549014449,0.7310000000000001,0.0510881590977792,0.609,0.04067486256208429,0.7,0.0,0.7,0.0,credit-g
80,0.6944444444444444,0.16079032441519883,,,,,,,,,0.5777777777777777,0.00780809298807006,0.5925925925925924,0.040945985066116054,cylinder-bands
81,0.9364577587972956,0.00943749925916737,0.8950763903115495,0.01613852950693465,0.9396831712813402,0.009625278817226073,0.9329504625179256,0.011154255964376015,0.9107880139306932,0.008171283578320046,0.7003778148982776,0.010466115936216205,0.5644503364483036,0.026099963927203984,delta_ailerons
82,0.8344044084510776,0.018013277128144017,0.7540236283787963,0.03062351952827574,0.8806383594447242,0.016189228418785628,0.8750692548312701,0.016372327400306575,0.8080285899848899,0.015819876838524462,0.5247472806157163,0.00942215095019923,0.5247472806157163,0.00942215095019923,delta_elevators
83,0.7175495557074505,0.04223791061255697,0.6510252904989746,0.06422208134997409,0.7734962406015038,0.036540402856012844,0.7564935064935066,0.034824118651366746,0.6796650717703349,0.05890507604429617,0.6301093643198907,0.04435091620764066,0.644565960355434,0.036862256119576935,diabetes
84,0.004412309974045235,0.0005155519370810582,0.0027808676307007783,0.0008336878978638018,0.01916944753429737,0.004442688483687768,0.01082684464219503,0.0012790647616359166,0.038060808305524656,0.007822174896930585,0.0040971449758991476,0.0006145623478161819,0.004412309974045235,0.0005155519370810582,diamonds
85,0.33809999999999996,0.015694655849116983,0.32020000000000004,0.015068731421943489,0.9437999999999999,0.010108302418199457,0.5893999999999999,0.008707595662536378,0.9594999999999999,0.008276472678623432,0.3263,0.006307843442008446,0.2845,0.03144748709268269,dilbert
